network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
ES,NET_ES209A,CCAA Cataluña,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_43123005_6_48,ES.BDCA.AQD,1.120171923,41.150778895,EPSG:4979,ES1208A,STA_ES1208A,Reus (el Tallapedra),ES.BDCA.AQD,2021-12-05 11:00:00+01:00,2021-12-05 12:00:00+01:00,2021-12-05 11:51:47+01:00,2021-12-05 12:53:52+01:00,0.2,1,3,102,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_41091010_6_48,ES.BDCA.AQD,-5.95962,37.38425,EPSG:4979,ES0817A,STA_ES0817A,LA RANILLA,ES.BDCA.AQD,2021-12-06 02:00:00+01:00,2021-12-06 03:00:00+01:00,2021-12-06 02:51:16+01:00,2021-12-06 04:55:26+01:00,0.294,1,3,29,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_18087010_6_48,ES.BDCA.AQD,-3.6001,37.16568,EPSG:4979,ES1924A,STA_ES1924A,PALACIO CONGRESOS,ES.BDCA.AQD,2021-12-04 16:00:00+01:00,2021-12-04 17:00:00+01:00,2021-12-04 16:57:57+01:00,2021-12-04 17:50:42+01:00,0.083,1,3,666,mg/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_48013006_6_48,ES.BDCA.AQD,-2.9871,43.298399999999994,EPSG:4979,ES1712A,STA_ES1712A,BARAKALDO,ES.BDCA.AQD,2021-12-04 20:00:00+01:00,2021-12-04 21:00:00+01:00,2021-12-04 20:50:57+01:00,2021-12-04 22:52:13+01:00,0.19,1,3,17,mg/m3
ES,NET_ES213A,CCAA Madrid,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_28092005_6_48,ES.BDCA.AQD,-3.8767700000000005,40.32419999999999,EPSG:4979,ES1568A,STA_ES1568A,MÓSTOLES,ES.BDCA.AQD,2021-12-06 08:00:00+01:00,2021-12-06 09:00:00+01:00,2021-12-06 08:48:47+01:00,2021-12-06 09:44:46+01:00,0.4,1,3,650,mg/m3
ES,NET_ES209A,CCAA Cataluña,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_43005002_6_48,ES.BDCA.AQD,1.179916582,41.27838109499999,EPSG:4979,ES1812A,STA_ES1812A,Alcover (Mestral),ES.BDCA.AQD,2021-12-05 01:00:00+01:00,2021-12-05 02:00:00+01:00,2021-12-05 01:53:26+01:00,2021-12-05 02:56:03+01:00,0.2,1,3,238,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_18087010_6_48,ES.BDCA.AQD,-3.6001,37.16568,EPSG:4979,ES1924A,STA_ES1924A,PALACIO CONGRESOS,ES.BDCA.AQD,2021-12-05 22:00:00+01:00,2021-12-05 23:00:00+01:00,2021-12-05 22:48:20+01:00,2021-12-06 00:44:56+01:00,0.401,1,3,666,mg/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_01059009_6_48,ES.BDCA.AQD,-2.6677900000000005,42.85607,EPSG:4979,ES1492A,STA_ES1492A,TRES MARZO,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:25+01:00,2021-12-04 17:51:23+01:00,0.37,1,3,518,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06015001_6_48,ES.BDCA.AQD,-7.01145,38.88763,EPSG:4979,ES1601A,STA_ES1601A,BADAJOZ,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:36+01:00,2021-12-04 16:39:28+01:00,0.17,1,3,390,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_18140001_6_48,ES.BDCA.AQD,-3.5173,36.74312,EPSG:4979,ES1370A,STA_ES1370A,MOTRIL,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:22+01:00,2021-12-04 16:58:30+01:00,0.361,1,3,50,mg/m3
